Time (year),tas (K)
2530.5,288.61016845703125
2531.5,288.6084289550781
2532.5,288.6077575683594
2533.5,288.6065368652344
2534.5,288.60626220703125
2535.5,288.60791015625
2536.5,288.6074523925781
2537.5,288.60845947265625
2538.5,288.6109619140625
2539.5,288.6093444824219
2540.5,288.60693359375
2541.5,288.60784912109375
2542.5,288.611083984375
2543.5,288.6124572753906
2544.5,288.6109619140625
2545.5,288.6109924316406
2546.5,288.6101379394531
2547.5,288.6090393066406
2548.5,288.6082458496094
2549.5,288.6087951660156
2550.5,288.60980224609375
2551.5,288.6085205078125
2552.5,288.60760498046875
2553.5,288.6069030761719
2554.5,288.6080627441406
2555.5,288.60968017578125
2556.5,288.6076354980469
2557.5,288.6089172363281
2558.5,288.6106872558594
2559.5,288.6106872558594
2560.5,288.61077880859375
2561.5,288.6108093261719
2562.5,288.611572265625
2563.5,288.61248779296875
2564.5,288.61041259765625
2565.5,288.6107482910156
2566.5,288.6113586425781
2567.5,288.6097106933594
2568.5,288.6098937988281
2569.5,288.610107421875
2570.5,288.6101379394531
2571.5,288.60919189453125
2572.5,288.6097412109375
2573.5,288.6117248535156
2574.5,288.6134948730469
2575.5,288.61590576171875
2576.5,288.6163635253906
2577.5,288.6186218261719
2578.5,288.6197814941406
2579.5,288.6186828613281
2580.5,288.61798095703125
2581.5,288.6180114746094
2582.5,288.6171569824219
2583.5,288.6167907714844
2584.5,288.612548828125
2585.5,288.61224365234375
2586.5,288.6115417480469
2587.5,288.6095886230469
2588.5,288.6092529296875
2589.5,288.6111145019531
2590.5,288.6142272949219
2591.5,288.6174011230469
2592.5,288.6187438964844
2593.5,288.6195373535156
2594.5,288.6197204589844
2595.5,288.62066650390625
2596.5,288.62188720703125
2597.5,288.62158203125
2598.5,288.6230773925781
2599.5,288.6212463378906
2600.5,288.6208190917969
2601.5,288.6178894042969
2602.5,288.6183776855469
2603.5,288.61761474609375
2604.5,288.6158142089844
2605.5,288.61407470703125
2606.5,288.6147155761719
2607.5,288.6149597167969
2608.5,288.6163330078125
2609.5,288.6181640625
2610.5,288.6226501464844
2611.5,288.62445068359375
2612.5,288.62567138671875
2613.5,288.62493896484375
2614.5,288.62530517578125
2615.5,288.6223449707031
2616.5,288.618408203125
2617.5,288.61968994140625
2618.5,288.61968994140625
2619.5,288.62060546875
2620.5,288.61968994140625
2621.5,288.6177978515625
2622.5,288.61883544921875
2623.5,288.6183776855469
2624.5,288.6167907714844
2625.5,288.6190185546875
2626.5,288.621337890625
2627.5,288.622802734375
2628.5,288.62225341796875
2629.5,288.62188720703125
2630.5,288.6220703125
2631.5,288.61834716796875
2632.5,288.6184997558594
2633.5,288.6190185546875
2634.5,288.6216735839844
2635.5,288.6231994628906
2636.5,288.62030029296875
2637.5,288.6181640625
2638.5,288.6180725097656
2639.5,288.6161804199219
2640.5,288.61700439453125
2641.5,288.61846923828125
2642.5,288.6204833984375
2643.5,288.6207580566406
2644.5,288.6218566894531
2645.5,288.62286376953125
2646.5,288.6244201660156
2647.5,288.624755859375
2648.5,288.6240539550781
2649.5,288.6219787597656
2650.5,288.6231994628906
2651.5,288.6220703125
2652.5,288.622802734375
2653.5,288.6222839355469
2654.5,288.6231689453125
2655.5,288.6231689453125
2656.5,288.62261962890625
2657.5,288.6260986328125
2658.5,288.6282653808594
2659.5,288.6280822753906
2660.5,288.6282958984375
2661.5,288.6277160644531
2662.5,288.6268310546875
2663.5,288.62579345703125
2664.5,288.6257019042969
2665.5,288.6263427734375
2666.5,288.627197265625
2667.5,288.62811279296875
2668.5,288.6278381347656
2669.5,288.6299743652344
2670.5,288.63226318359375
2671.5,288.6311950683594
2672.5,288.63134765625
2673.5,288.63336181640625
2674.5,288.63653564453125
2675.5,288.6380615234375
2676.5,288.6376037597656
